platform	format	family	communication	width	height	path	sha256
instagram	Feed 4:5	Volunteer / Recruitment	HSF,EVENT	1080	1350	04_Templates/instagram/01_Feed_4x5/09_Volunteer_Recruitment.svg	c3133935c86e3d74d737c665b3e7ac6264bf2f96d5f8b51226153c786dfeae2f
instagram	Feed 4:5	Support / Donation CTA	CORE,HSF	1080	1350	04_Templates/instagram/01_Feed_4x5/10_Support_CTA.svg	d07c915befb9d08ff2bf15833df117ddb9493d0a7eaeaa370397d9e990223a2d
instagram	Feed 4:5	Report / Publication	CORE,HSF	1080	1350	04_Templates/instagram/01_Feed_4x5/11_Report_Publication.svg	1cf46fc01ed36c95d421af2198a126e19f0010c5b581337dd507f75156f4bfc6
instagram	Feed 4:5	Urgent Update / Crisis	CORE,EVENT	1080	1350	04_Templates/instagram/01_Feed_4x5/12_Urgent_Update.svg	cc5c8313fb41febdc0e28407e9fad06ddc8f44974db34283d0fe77a286dd3ca6
instagram	Feed 4:5	Practical Guide / Community Advice	CORE,OBS	1080	1350	04_Templates/instagram/01_Feed_4x5/13_Practical_Guide.svg	488cbdce3a2769f070c39e567bb0380f153192a4e1ee1b06a3a8da629d2129af
instagram	Feed 4:5	Myth vs Fact / Trusted Information	CORE,OBS	1080	1350	04_Templates/instagram/01_Feed_4x5/14_Myth_vs_Fact.svg	da4dc314de38f2b26212221e0f0f135846f368cd29dfa7825be2d2347778e659
instagram	Feed 4:5	Checklist / Community Action	CORE,OBS	1080	1350	04_Templates/instagram/01_Feed_4x5/15_Checklist_Action.svg	0f25622f2d6754cf6ae8bf1e970fb2c412e21213cb4d27ec495479f995b3da7a
instagram	Feed 4:5	HSF Moment	MOMENT,FIELD	1080	1350	04_Templates/instagram/01_Feed_4x5/16_HSF_Moment.svg	3b583c0e2350bbdfef1e0289d954d1a3aba12c0f0bfb7756f94151f0f0ff76bf
instagram	Feed 4:5	Observance / National Day	OBS	1080	1350	04_Templates/instagram/01_Feed_4x5/17_Observance_Day.svg	bd60e3d0d11dd38dd81902d2d454b67e983d0bdfb9890a7180e99b49378c93b8
instagram	Feed 4:5	Foundation Day / Milestone	HSF	1080	1350	04_Templates/instagram/01_Feed_4x5/18_Foundation_Milestone.svg	0463d0a023d3e12b929a5e54624217dbabbe4d75dfdcf4fb8028616631ba53ac
